,ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,CA,NPM,FWBR,FWBR_N,layer
530,com.itextpdf.text.pdf.AcroFields$InstHit,2,1,0,1,6,0,1,2,-2.0457252088670566,-2.5501695097334034,4.0
531,com.itextpdf.text.pdf.PdfPCellEvent,1,1,0,3,1,0,4,1,-4.82641392048061,-4.697573082336425,4.0
532,com.itextpdf.text.xml.xmp.LangAlt,5,4,0,1,16,10,1,4,-1.7000185357739308,-1.8963407755788815,1.0
533,com.itextpdf.text.pdf.codec.TiffWriter$FieldAscii,1,2,0,1,4,0,1,1,-1.3962231567811874,-1.615397861648764,2.0
534,com.itextpdf.text.pdf.PdfGraphics2D,92,3,1,18,348,3504,3,73,-12.944522504206429,-13.937964389826828,4.0
535,com.itextpdf.text.pdf.FilterHandlers$Filter_CCITTFAXDECODE,3,1,0,12,17,3,1,1,-9.276454733933729,-10.53617797502784,4.0
536,com.itextpdf.text.pdf.PatternColor,4,3,0,2,6,0,2,4,-3.2593651570057993,-3.1018910595383,4.0
537,com.itextpdf.text.html.HtmlEncoder,6,1,0,1,27,11,0,4,-2.647736515094383,-3.704889834006037,5.0
538,com.itextpdf.text.pdf.BarcodePDF417$Segment,1,1,0,0,2,0,2,1,0.6001384041726006,0.5893628394357852,5.0
539,com.itextpdf.text.pdf.fonts.cmaps.CMapParser$Operator,3,1,0,2,4,1,1,0,-4.077349171166148,-4.216836984504004,4.0
540,com.itextpdf.text.pdf.CFFFont$OffsetItem,2,2,2,1,3,1,7,1,-2.4563223916305414,-1.7685294029048462,4.0
541,com.itextpdf.text.pdf.PdfReader$1,1,1,0,1,3,0,2,0,-1.9235816722928396,-2.230030207878772,4.0
542,com.itextpdf.text.xml.simpleparser.NewLineHandler,1,1,0,0,1,0,3,1,0.4434171836130442,0.7348142194157778,0.0
543,com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$Do,3,1,0,5,6,3,1,1,-6.702321739729271,-7.167521731211314,9.0
