ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,CA,NPM
com.itextpdf.text.pdf.PdfPageLabels$PdfPageLabelFormat,1,1,0,0,2,0,1,1
com.itextpdf.text.pdf.RadioCheckField,14,2,0,15,69,53,0,12
com.itextpdf.text.pdf.qrcode.QRCodeWriter,5,1,0,6,24,10,1,3
com.itextpdf.text.pdf.PdfStream,12,3,8,16,62,20,39,9
com.itextpdf.text.ImgWMF,6,3,0,9,28,9,2,4
com.itextpdf.text.pdf.codec.LZWStringTable,7,1,0,0,14,0,1,7
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$ModifyCurrentTransformationMatrix,3,1,0,7,10,3,1,1
com.itextpdf.text.pdf.CFFFont$IndexMarkerItem,2,2,0,3,4,0,2,2
com.itextpdf.awt.geom.misc.RenderingHints$KeyImpl,2,2,0,2,4,1,1,1
com.itextpdf.text.pdf.security.OcspClientBouncyCastle,6,1,0,31,56,3,1,3
com.itextpdf.text.pdf.PdfPublicKeySecurityHandler,8,1,0,29,67,4,1,5
com.itextpdf.text.pdf.codec.BitFile,3,1,0,0,6,0,1,3
com.itextpdf.text.LargeElement,3,1,0,1,3,3,3,3
com.itextpdf.text.pdf.parser.RegionTextRenderFilter,3,2,0,7,10,0,0,3
com.itextpdf.awt.geom.Rectangle2D$Float,15,3,0,2,29,11,6,15
com.itextpdf.text.ImgRaw,2,3,0,3,10,1,5,1
com.itextpdf.text.pdf.draw.DottedLineSeparator,4,3,0,2,11,0,0,4
com.itextpdf.text.pdf.PdfStructTreeController,13,1,0,18,67,48,1,3
com.itextpdf.text.pdf.AcroFields$SorterComparator,4,1,0,1,5,6,1,2
com.itextpdf.text.html.HtmlUtilities,10,1,0,2,41,41,6,9
com.itextpdf.text.pdf.PRTokeniser$TokenType,4,2,0,1,7,4,6,2
com.itextpdf.awt.AsianFontMapper,2,2,0,3,8,0,0,2
com.itextpdf.text.pdf.security.EncryptionAlgorithms,3,1,0,0,7,1,1,2
com.itextpdf.text.pdf.XfaForm$InverseStore,3,1,0,0,10,0,1,3
com.itextpdf.text.pdf.PdfPatternPainter,39,3,0,14,73,683,6,35
com.itextpdf.text.pdf.codec.TiffWriter$FieldLong,2,2,0,1,3,0,1,2
com.itextpdf.text.xml.XMLUtil,8,1,0,0,20,28,7,8
com.itextpdf.text.DocListener,9,1,0,2,9,36,9,9
com.itextpdf.text.pdf.fonts.cmaps.CMapParserEx,5,1,0,9,29,8,3,2
com.itextpdf.text.pdf.security.LtvVerification,11,1,0,35,86,21,1,4
com.itextpdf.text.pdf.codec.wmf.MetaPen,5,2,0,3,9,0,2,5
com.itextpdf.text.pdf.PdfPages,8,1,0,11,34,0,3,0
com.itextpdf.text.api.Indentable,4,1,0,0,4,6,5,4
com.itextpdf.text.pdf.Type1Font,19,2,0,21,85,85,1,12
com.itextpdf.text.pdf.FilterHandlers$Filter_ASCIIHEXDECODE,3,1,0,6,5,3,1,1
com.itextpdf.text.pdf.PdfShading,23,1,0,18,54,193,5,16
com.itextpdf.text.pdf.PdfCopyForms,18,1,0,11,37,0,0,18
com.itextpdf.text.pdf.qrcode.GF256Poly,12,1,0,1,29,0,2,1
com.itextpdf.text.pdf.codec.wmf.MetaDo,9,1,0,14,128,16,1,8
com.itextpdf.text.WritableDirectElement,6,1,0,3,9,15,0,6
com.itextpdf.text.xml.simpleparser.IanaEncodings,3,1,0,0,8,1,3,2
com.itextpdf.text.pdf.TrueTypeFontUnicode,19,3,0,18,65,137,3,13
com.itextpdf.text.Font,36,1,0,7,49,268,25,36
com.itextpdf.text.pdf.security.SignaturePermissions,5,1,0,5,18,2,1,5
com.itextpdf.text.pdf.FilterHandlers$Filter_FLATEDECODE,3,1,0,6,6,3,1,1
com.itextpdf.text.pdf.CompareTool$ImageNameComparator,3,1,0,1,6,3,1,2
com.itextpdf.text.pdf.hyphenation.TernaryTree,22,1,1,3,44,127,2,16
com.itextpdf.text.xml.simpleparser.SimpleXMLDocHandler,5,1,0,0,5,10,7,5
com.itextpdf.text.pdf.interfaces.PdfViewerPreferences,2,1,0,2,2,1,6,2
com.itextpdf.text.pdf.security.PdfPKCS7,42,1,0,53,187,657,4,37
com.itextpdf.text.pdf.codec.TiffWriter$FieldBase,6,1,7,1,11,1,9,5
com.itextpdf.text.GreekList,5,2,0,7,23,6,0,4
com.itextpdf.text.xml.XmlDomWriter,9,1,0,0,38,14,2,6
com.itextpdf.text.pdf.parser.SimpleTextExtractionStrategy,6,1,0,5,24,9,1,6
com.itextpdf.text.pdf.hyphenation.TernaryTree$Iterator$Item,4,1,0,1,4,0,1,4
com.itextpdf.awt.geom.QuadCurve2D$Float,14,2,0,5,19,19,0,14
com.itextpdf.text.pdf.PdfDocument$1,1,4,0,1,3,0,1,0
com.itextpdf.text.pdf.AcroFields$InstHit,2,1,0,1,6,0,1,2
com.itextpdf.text.pdf.PdfPCellEvent,1,1,0,3,1,0,4,1
com.itextpdf.text.pdf.PatternColor,4,3,0,2,6,0,2,4
com.itextpdf.text.html.HtmlEncoder,6,1,0,1,27,11,0,4
com.itextpdf.text.pdf.CFFFont$OffsetItem,2,2,2,1,3,1,7,1
com.itextpdf.awt.geom.GeneralPath,31,1,0,15,62,309,2,28
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$Do,3,1,0,5,6,3,1,1
com.itextpdf.text.pdf.GrayColor,6,3,0,1,9,3,7,5
com.itextpdf.text.pdf.TrueTypeFont,43,2,2,24,133,337,3,12
com.itextpdf.text.FontFactory,28,1,0,4,42,106,6,26
com.itextpdf.text.pdf.parser.InlineImageUtils$InlineImageParseException,1,4,0,0,2,0,1,1
com.itextpdf.text.pdf.TrueTypeFont$HorizontalHeader,1,1,0,0,2,0,1,0
com.itextpdf.text.pdf.CFFFont$DictNumberItem,3,2,0,1,5,0,2,3
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$ResourceDictionary,4,3,0,3,11,0,5,4
